Date,Close/Last,,,,
1/28/22,$170.33 ,,,,
1/27/22,$159.22 ,,,,
1/26/22,$159.69 ,,,,
1/25/22,$159.78 ,,,,
1/24/22,$161.62 ,,,,
1/21/22,$162.41 ,,,,
1/20/22,$164.51 ,,,,
1/19/22,$166.23 ,,,,
1/18/22,$169.80 ,,,,
1/14/22,$173.07 ,,,,
1/13/22,$172.19 ,,,,
1/12/22,$175.53 ,,,,
1/11/22,$175.08 ,,,,
1/10/22,$172.19 ,,,,
1/7/22,$172.17 ,,,,
1/6/22,$172 ,,,,
1/5/22,$174.92 ,,,,
1/4/22,$179.70 ,,,,
1/3/22,$182.01 ,,,,
12/31/21,$177.57 ,,,,
12/30/21,$178.20 ,,,,
12/29/21,$179.38 ,,,,
12/28/21,$179.29 ,,,,
12/27/21,$180.33 ,,,,
12/23/21,$176.28 ,,,,
12/22/21,$175.64 ,,,,
12/21/21,$172.99 ,,,,
12/20/21,$169.75 ,,,,
12/17/21,$171.14 ,,,,
12/16/21,$172.26 ,,,,
12/15/21,$179.30 ,,,,
12/14/21,$174.33 ,,,,
12/13/21,$175.74 ,,,,
12/10/21,$179.45 ,,,,
12/9/21,$174.56 ,,,,
12/8/21,$175.08 ,,,,
12/7/21,$171.18 ,,,,
12/6/21,$165.32 ,,,,
12/3/21,$161.84 ,,,,
12/2/21,$163.76 ,,,,
12/1/21,$164.77 ,,,,
11/30/21,$165.30 ,,,,
11/29/21,$160.24 ,,,,
11/26/21,$156.81 ,,,,
11/24/21,$161.94 ,,,,
11/23/21,$161.41 ,,,,
11/22/21,$161.02 ,,,,
11/19/21,$160.55 ,,,,
11/18/21,$157.87 ,,,,
11/17/21,$153.49 ,,,,
11/16/21,$151 ,,,,
11/15/21,$150 ,,,,
11/12/21,$149.99 ,,,,
11/11/21,$147.87 ,,,,
11/10/21,$147.92 ,,,,
11/9/21,$150.81 ,,,,
11/8/21,$150.44 ,,,,
11/5/21,$151.28 ,,,,
11/4/21,$150.96 ,,,,
11/3/21,$151.49 ,,,,
11/2/21,$150.02 ,,,,
11/1/21,$148.96 ,,,,
10/29/21,$149.80 ,,,,
